Type	Genus	Tube colour	Botanical name	Common name	States	NW	LE	NU	GT	FR	EA	EP	NL	MU	YP	SL	KI	SE	Height (m)	Spread (m)	Rain (mm)	Soil texture	Soil pH	Frost	Flower colour	Flower (time)	License	Attribution link	Attribution Label
Trees and Shrubs	Acacia 	B	acinacea 	round-leaved wattle	"SA, N,V"			I	I	V		I	R	R	R	I	E	I	1-2	1-2	300	"Sa,Lo,Cl"	ANC	R	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	anceps	Port Lincoln wattle	"SA, W"			I				I							1-3	1-3	250	"Sa,Li"	ANC	M	Y	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	aneura	mulga	"SA,Q,N,W,NT"	I	I	I	I	R	I	R		R					4-10	3-6	150	"Sa,Lo,Li"	ANC	R	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	argyrophylla	golden-grey mulga	"SA,V"					R	R		R	I	E	E			1-5	2-6	350	"Sa,Lo,Li"	ANC	R	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	baileyana var. purpurea	purple Cootamundra wattle	Form														5-8	4-7	500	"Lo,Cl"	AN/C	R	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	brachybotrya	grey mulga	"SA,N,V"			R				R	I	I	R	E	V	I	2-4	1.5-4	250	"Sa,Lo,Cl,Li"	ANC	R	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	calamifolia	wallowa 	"SA,N,V"				R	I	I		R	R	R	R			2-5	2-4	200	"Sa,Lo,Cl,Li"	ANC	M	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	continua	thorn wattle	"SA,N"				R	I	I	I	T		R	I		I	1-2	1-2	300	"Sa,Lo,Cl"	ANC	M	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	cultriformis	knife-leaf wattle	"Q,N"														2-4	2-4	450	"Lo,Cl"	ANC	R	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Acacia 	B	cupularis	coastal umbrella bush	SA			R		R		I	T	I	I	R	I	I	2-3	2-3	200	"Sa,Lo,Li"	ANC	M	Y	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
